index;fieldID;stimFileName;t_abs_s;t_rel_s;t_since_last_s;t_start;aborted;t_end;t_dur_s;dataFileName;t_rec;pos_xyz;params
0;-1;__autorun_default_DO_NOT_DELETE;3;;3;12:57:03;FALSE;12:57:03;0;;;;{'boxDx_um': 40, 'nFrPerMarker': 3, 'durStim_s': 0.2, 'boxDy_um': 40, 'fIntenW': 255, 'stimFileName': 'C:/Users/AGEuler/Documents/QDSpy/Stimuli/Katrin/RGCs/DN', 'durFr_s': 0.016666666666666666, 'fNameNoise': 'RGC_BWNoise_official'}
1;-1;DN;1346;;1343;13:19:26;TRUE;13:22:35;189;;;;{'barDx_um': 1000.0, 'nFrPerMarker': 3, 'nTrials': 3, 'barDy_um': 300.0, 'vel_umSec': 1000.0, 'DirList': [0, 180, 45, 225, 90, 270, 135, 315], 'barColor': [255, 255, 255], 'durFr_s': 0.016666666666666666, 'tMoveDur_s': 4.0, 'stimFileName': 'C:/Users/AGEuler/Documents/QDSpy/Stimuli/Katrin/RGCs/DS', 'bkgColor': [0, 0, 0]}
2;-1;DS;1539;;4;13:22:39;TRUE;13:22:51;12;;;;{'boxDx_um': 40, 'nFrPerMarker': 3, 'durStim_s': 0.2, 'boxDy_um': 40, 'fIntenW': 255, 'stimFileName': 'C:/Users/AGEuler/Documents/QDSpy/Stimuli/Katrin/RGCs/DN', 'durFr_s': 0.016666666666666666, 'fNameNoise': 'RGC_BWNoise_official'}
3;-1;DN;1554;;3;13:22:54;TRUE;13:25:43;169;;;;{'barDx_um': 1000.0, 'nFrPerMarker': 3, 'nTrials': 3, 'barDy_um': 300.0, 'vel_umSec': 1000.0, 'DirList': [0, 180, 45, 225, 90, 270, 135, 315], 'barColor': [255, 255, 255], 'durFr_s': 0.016666666666666666, 'tMoveDur_s': 4.0, 'stimFileName': 'C:/Users/AGEuler/Documents/QDSpy/Stimuli/Katrin/RGCs/DS', 'bkgColor': [0, 0, 0]}
4;-1;DS;1724;;1;13:25:44;TRUE;13:26:15;31;;;;{'boxDx_um': 40, 'nFrPerMarker': 3, 'durStim_s': 0.2, 'boxDy_um': 40, 'fIntenW': 255, 'stimFileName': 'C:/Users/AGEuler/Documents/QDSpy/Stimuli/Katrin/RGCs/DN', 'durFr_s': 0.016666666666666666, 'fNameNoise': 'RGC_BWNoise_official'}
5;-1;DN;1756;;1;13:26:16;TRUE;13:28:43;147;;;;{'barDx_um': 1000.0, 'nFrPerMarker': 3, 'nTrials': 3, 'barDy_um': 300.0, 'vel_umSec': 1000.0, 'DirList': [0, 180, 45, 225, 90, 270, 135, 315], 'barColor': [255, 255, 255], 'durFr_s': 0.016666666666666666, 'tMoveDur_s': 4.0, 'stimFileName': 'C:/Users/AGEuler/Documents/QDSpy/Stimuli/Katrin/RGCs/DS', 'bkgColor': [0, 0, 0]}
6;-1;DS;1904;;1;13:28:44;TRUE;13:30:24;100;;;;{'barDx_um': 1000.0, 'nFrPerMarker': 3, 'nTrials': 3, 'barDy_um': 300.0, 'vel_umSec': 1000.0, 'DirList': [0, 180, 45, 225, 90, 270, 135, 315], 'barColor': [255, 255, 255], 'durFr_s': 0.016666666666666666, 'tMoveDur_s': 4.0, 'stimFileName': 'C:/Users/AGEuler/Documents/QDSpy/Stimuli/Katrin/RGCs/DS', 'bkgColor': [0, 0, 0]}
7;0;DS;2064;0;60;13:31:24;FALSE;13:33:05;101;M1_RR_GCL0_DS.smh;13:31:08;[1479.2, -559.6, 1632.3];{'StimType': 2, 'tSteadyON_s': 3.0, 'tSteadyOFF2_s': 2.0, 'tSteadyMID_s': 2.0, 'stimFileName': 'C:/Users/AGEuler/Documents/QDSpy/Stimuli/Katrin/RGCs/Chirp', 'chirpMaxFreq_Hz': 8.0, 'durFr_s': 0.016666666666666666, 'tSteadyOFF_s': 3.0, 'nFrPerMarker': 3, 'ContrastFreq_Hz': 2.0, 'nTrials': 5, 'dxStim_um': 1000, 'IHalf': 127, 'chirpDur_s': 8.0, 'IFull': 254} 
8;0;Chirp;2202;138;37;13:33:42;FALSE;13:36:27;165;M1_RR_GCL0_Chirp.smh;13:33:26;[1478.2, -557.4, 1631.1];{'stimFileName': 'C:/Users/AGEuler/Documents/QDSpy/Stimuli/Katrin/RGCs/MouseCam_Right', 'SequenceUsed': 16} 
9;0;MouseCam_Right;2407;343;40;13:37:07;FALSE;13:47:25;618;M1_RR_GCL0_MouseCam.smh;13:36:48;[1478.2, -554.4, 1628.7];{'barDx_um': 1000.0, 'nFrPerMarker': 3, 'nTrials': 3, 'barDy_um': 300.0, 'vel_umSec': 1000.0, 'DirList': [0, 180, 45, 225, 90, 270, 135, 315], 'barColor': [255, 255, 255], 'durFr_s': 0.016666666666666666, 'tMoveDur_s': 4.0, 'stimFileName': 'C:/Users/AGEuler/Documents/QDSpy/Stimuli/Katrin/RGCs/DS', 'bkgColor': [0, 0, 0]} 
10;1;DS;3114;1050;89;13:48:54;FALSE;13:50:35;101;M1_RR_GCL1_DS.smh;13:51:41;[1522.6, -638.6, 1629.9];{'barDx_um': 1000.0, 'nFrPerMarker': 3, 'nTrials': 3, 'barDy_um': 300.0, 'vel_umSec': 1000.0, 'DirList': [0, 180, 45, 225, 90, 270, 135, 315], 'barColor': [255, 255, 255], 'durFr_s': 0.016666666666666666, 'tMoveDur_s': 4.0, 'stimFileName': 'C:/Users/AGEuler/Documents/QDSpy/Stimuli/Katrin/RGCs/DS', 'bkgColor': [0, 0, 0]} 
11;1;DS;3295;1231;80;13:51:55;FALSE;13:53:36;101;;;[1522.6, -638.6, 1629.9];{'StimType': 2, 'tSteadyON_s': 3.0, 'tSteadyOFF2_s': 2.0, 'tSteadyMID_s': 2.0, 'stimFileName': 'C:/Users/AGEuler/Documents/QDSpy/Stimuli/Katrin/RGCs/Chirp', 'chirpMaxFreq_Hz': 8.0, 'durFr_s': 0.016666666666666666, 'tSteadyOFF_s': 3.0, 'nFrPerMarker': 3, 'ContrastFreq_Hz': 2.0, 'nTrials': 5, 'dxStim_um': 1000, 'IHalf': 127, 'chirpDur_s': 8.0, 'IFull': 254} 
12;1;Chirp;3427;1363;31;13:54:07;FALSE;13:56:52;165;M1_RR_GCL1_Chirp.smh;13:53:53;[1522.4, -637.8, 1628.7];{'stimFileName': 'C:/Users/AGEuler/Documents/QDSpy/Stimuli/Katrin/RGCs/MouseCam_Right', 'SequenceUsed': 8} 
13;1;MouseCam_Right;3661;1597;69;13:58:01;FALSE;14:08:19;618;M1_RR_GCL1_MouseCam.smh;13:57:43;[1521.6, -637.4, 1626.9];{'boxDx_um': 40, 'nFrPerMarker': 3, 'durStim_s': 0.2, 'boxDy_um': 40, 'fIntenW': 255, 'stimFileName': 'C:/Users/AGEuler/Documents/QDSpy/Stimuli/Katrin/RGCs/DN', 'durFr_s': 0.016666666666666666, 'fNameNoise': 'RGC_BWNoise_official'} 
14;-1;DN;4290;2226;11;14:08:30;TRUE;14:08:35;5;;;;{'barDx_um': 1000.0, 'nFrPerMarker': 3, 'nTrials': 3, 'barDy_um': 300.0, 'vel_umSec': 1000.0, 'DirList': [0, 180, 45, 225, 90, 270, 135, 315], 'barColor': [255, 255, 255], 'durFr_s': 0.016666666666666666, 'tMoveDur_s': 4.0, 'stimFileName': 'C:/Users/AGEuler/Documents/QDSpy/Stimuli/Katrin/RGCs/DS', 'bkgColor': [0, 0, 0]} 
15;-1;DS;4384;2320;89;14:10:04;TRUE;14:11:02;58;;;;{'barDx_um': 1000.0, 'nFrPerMarker': 3, 'nTrials': 3, 'barDy_um': 300.0, 'vel_umSec': 1000.0, 'DirList': [0, 180, 45, 225, 90, 270, 135, 315], 'barColor': [255, 255, 255], 'durFr_s': 0.016666666666666666, 'tMoveDur_s': 4.0, 'stimFileName': 'C:/Users/AGEuler/Documents/QDSpy/Stimuli/Katrin/RGCs/DS', 'bkgColor': [0, 0, 0]} 
16;2;DS;4469;2405;27;14:11:29;FALSE;14:13:10;101;M1_RR_GCL2_DS.smh;14:11:14;[1522.0, -413.8, 1613.7];{'StimType': 2, 'tSteadyON_s': 3.0, 'tSteadyOFF2_s': 2.0, 'tSteadyMID_s': 2.0, 'stimFileName': 'C:/Users/AGEuler/Documents/QDSpy/Stimuli/Katrin/RGCs/Chirp', 'chirpMaxFreq_Hz': 8.0, 'durFr_s': 0.016666666666666666, 'tSteadyOFF_s': 3.0, 'nFrPerMarker': 3, 'ContrastFreq_Hz': 2.0, 'nTrials': 5, 'dxStim_um': 1000, 'IHalf': 127, 'chirpDur_s': 8.0, 'IFull': 254} 
17;2;Chirp;4600;2536;30;14:13:40;FALSE;14:16:25;165;M1_RR_GCL2_Chirp.smh;14:13:27;[1522.4, -413.8, 1610.7];{'stimFileName': 'C:/Users/AGEuler/Documents/QDSpy/Stimuli/Katrin/RGCs/MouseCam_Right', 'SequenceUsed': 16} 
