Index,Nuc Coords,Soma Coords,Cell Type (deprecated),611 Proofreader,Proofreader 2,Status,AIS annotated?,Final Link,Final NucID,Final SegID,Directionality,Proofreading Notes,Status (Julia),Notes (Julia),Cell Class,Cell Typer Name,Cell Type,Reliability Human Label,Other Type,EyeWire1 type (for RGCs) human label,Reliability EyeWire1 human label,Labeling Notes,Machine label,Confidence machine label,Machine soma location,Additional Notes,Index OK?,Index for sanity check,Updated Nuc ID (Sept 2),Updated Seg ID (Sept 2),Cell Requires Review (DO NOT use Updated IDs for those cells),Review complete,Review notes,Cutoff Severity for Status=Complete (cut off) cells                          (%Hits Edge & Can't Fix Annotations in Proofreading link)
A4,,,OFF-SAC,Roden Rey,,Complete (cut off),,https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/5875488682672128,,720575940564637213,,,Correct,,AC,,OFF SAC,,,,,,OFF SAC,0.83,INL,,ok,A4,,,FALSE,,,
A5,,,OFF-SAC,Christine,,Complete (cut off),,https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/4979654738837504,,720575940561794892,,,Correct,,AC,,OFF SAC,,,,,,OFF SAC,0.91,INL,,ok,A5,,,FALSE,,,
A7,"63573, 49070, 1720","63537, 49048, 1697",OFF-SAC,April Grace,,Complete,,https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/6653668037230592,720575940545056597,720575940572159335,,,Correct,,AC,,OFF SAC,,,,,,OFF SAC,0.91,INL,,ok,A7,720575940545056597,720575940572159335,FALSE,,,
A11,"50561, 64354, 1734","50520, 64370, 1656",OFF-SAC,Roden Rey,,Complete,,https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/5786660940808192,720575940544186175,720575940563309953,,,Correct,,AC,,OFF SAC,,,,,,OFF SAC,0.91,INL,,ok,A11,720575940544186175,720575940563309953,FALSE,,,
A12,,,OFF-SAC,Roden Rey,,Complete (cut off),,https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/4855700908933120,,720575940552928256,,,Correct,,AC,,OFF SAC,,,,,,OFF SAC,0.91,INL,,ok,A12,,,FALSE,,,
A14,"59054, 51036, 1581","58943, 51092, 1541",OFF-SAC,Sherwin,,Complete,,https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/5176842190323712,720575940560739348,720575940551194283,,,Correct,,AC,,OFF SAC,,,,,,OFF SAC,0.91,INL,,ok,A14,720575940560739348,720575940551194283,FALSE,,,
A15,"62956, 37872, 1660","62846, 37864, 1614",OFF-SAC,Cj,,Complete,,https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/6606207306432512,720575940565464697,720575940558612013,,,Correct,,AC,,OFF SAC,,,,,,,,INL,,ok,A15,720575940565464697,720575940478739093,TRUE,No,,
A16,"60323, 43617, 1606","60239, 43684, 1519",OFF-SAC,Cj,,Complete,,https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/5384326557466624,720575940564433177,720575940562094918,,,Correct,,AC,,OFF SAC,,,,,,OFF SAC,0.91,INL,,ok,A16,720575940564433177,720575940562094918,FALSE,,,
A17,"24865, 43768, 1532","24862, 43800, 1546",OFF-SAC,Althea Lou,,Complete,,https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/5076550543212544,720575940551084343,720575940568395120,,,Correct,,AC,,OFF SAC,,,,,,OFF SAC,0.91,INL,,ok,A17,720575940551084343,720575940568395120,FALSE,,,
A18,"37906, 31895, 1694","37968, 32027, 1675",OFF-SAC,Althea Lou,,Complete,,https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/4905706240081920,720575940549669282,720575940563946407,,,Correct,,AC,,OFF SAC,,,,,,OFF SAC,0.91,INL,,ok,A18,720575940549669282,720575940563946407,FALSE,,,
