;fName;date;time;xyz_coord_um
0;M1_RR_GCL0_Chirp.smh;2018-10-11;13:33:26;[1478.2, -557.4, 1631.1]
1;M1_RR_GCL0_DS.smh;2018-10-11;13:31:08;[1479.2, -559.6, 1632.3]
2;M1_RR_GCL0_HR.smh;2018-10-11;13:47:50;[1479.8, -551.4, 1627.1]
3;M1_RR_GCL0_MouseCam.smh;2018-10-11;13:36:48;[1478.2, -554.4, 1628.7]
4;M1_RR_GCL1_Chirp.smh;2018-10-11;13:53:53;[1522.4, -637.8, 1628.7]
5;M1_RR_GCL1_DS.smh;2018-10-11;13:51:41;[1522.6, -638.6, 1629.9]
6;M1_RR_GCL1_HR.smh;2018-10-11;14:08:54;[1521.4, -633.8, 1624.3]
7;M1_RR_GCL1_MouseCam.smh;2018-10-11;13:57:43;[1521.6, -637.4, 1626.9]
8;M1_RR_GCL2_Chirp.smh;2018-10-11;14:13:27;[1522.4, -413.8, 1610.7]
9;M1_RR_GCL2_DS.smh;2018-10-11;14:11:14;[1522.0, -413.8, 1613.7]
10;M1_RR_GCL2_HR.smh;2018-10-11;14:27:39;[1521.6, -410.8, 1609.5]
11;M1_RR_GCL2_MouseCam.smh;2018-10-11;14:16:43;[1521.8, -412.6, 1611.1]
12;M1_RR_GCL3_Chirp.smh;2018-10-11;14:33:55;[1281.6, -464.0, 1622.5]
13;M1_RR_GCL3_Chirp2.smh;2018-10-11;14:47:56;[1280.6, -462.4, 1623.1]
14;M1_RR_GCL3_DS.smh;2018-10-11;14:30:17;[1281.2, -466.4, 1625.1]
15;M1_RR_GCL3_HR.smh;2018-10-11;14:51:25;[1280.2, -461.2, 1620.7]
16;M1_RR_GCL3_MouseCam.smh;2018-10-11;14:37:15;[1281.2, -464.4, 1624.1]
17;M1_RR_GCL4_Chirp.smh;2018-10-11;15:01:46;[1350.0, -777.0, 1619.7]
18;M1_RR_GCL4_DS.smh;2018-10-11;14:59:17;[1351.0, -778.0, 1621.9]
19;M1_RR_GCL4_HR.smh;2018-10-11;15:16:01;[1349.0, -777.2, 1617.9]
20;M1_RR_GCL4_MouseCam.smh;2018-10-11;15:05:00;[1349.2, -777.0, 1619.7]
