;index;stimFileName;stimPath;stimMD5;t_abs_s;t_since_last_s;t_start;aborted;t_end;t_dur_s;t_dur_s_calc;nDroppedFrames;params
0;0;__autorun_default_DO_NOT_DELETE;C:\Users\AGEuler\Documents\QDSpy;0a3053a663e357056b5b3c55856f8c88;3,0;3,0;12:57:03;False;12:57:03;0,0;0,06916144502247334;0;{'boxDx_um': 40, 'nFrPerMarker': 3, 'durStim_s': 0.2, 'boxDy_um': 40, 'fIntenW': 255, 'stimFileName': 'C:/Users/AGEuler/Documents/QDSpy/Stimuli/Katrin/RGCs/DN', 'durFr_s': 0.016666666666666666, 'fNameNoise': 'RGC_BWNoise_official'}
1;1;DN;C:\Users\AGEuler\Documents\QDSpy\Stimuli\Katrin\RGCs;521d77a52eff75053da309ada99d1156;1346,0;1343,0;13:19:26;True;13:22:35;189,0;189,06897092557847;1;{'barDx_um': 1000.0, 'nFrPerMarker': 3, 'nTrials': 3, 'barDy_um': 300.0, 'vel_umSec': 1000.0, 'DirList': [0, 180, 45, 225, 90, 270, 135, 315], 'barColor': [255, 255, 255], 'durFr_s': 0.016666666666666666, 'tMoveDur_s': 4.0, 'stimFileName': 'C:/Users/AGEuler/Documents/QDSpy/Stimuli/Katrin/RGCs/DS', 'bkgColor': [0, 0, 0]}
2;2;DS;C:\Users\AGEuler\Documents\QDSpy\Stimuli\Katrin\RGCs;00bdaae87a8a50500c2063a68bfb3c1e;1539,0;4,0;13:22:39;True;13:22:51;12,0;11,797716781620695;0;{'boxDx_um': 40, 'nFrPerMarker': 3, 'durStim_s': 0.2, 'boxDy_um': 40, 'fIntenW': 255, 'stimFileName': 'C:/Users/AGEuler/Documents/QDSpy/Stimuli/Katrin/RGCs/DN', 'durFr_s': 0.016666666666666666, 'fNameNoise': 'RGC_BWNoise_official'}
3;3;DN;C:\Users\AGEuler\Documents\QDSpy\Stimuli\Katrin\RGCs;521d77a52eff75053da309ada99d1156;1554,0;3,0;13:22:54;True;13:25:43;169,0;168,55911908171038;0;{'barDx_um': 1000.0, 'nFrPerMarker': 3, 'nTrials': 3, 'barDy_um': 300.0, 'vel_umSec': 1000.0, 'DirList': [0, 180, 45, 225, 90, 270, 135, 315], 'barColor': [255, 255, 255], 'durFr_s': 0.016666666666666666, 'tMoveDur_s': 4.0, 'stimFileName': 'C:/Users/AGEuler/Documents/QDSpy/Stimuli/Katrin/RGCs/DS', 'bkgColor': [0, 0, 0]}
4;4;DS;C:\Users\AGEuler\Documents\QDSpy\Stimuli\Katrin\RGCs;00bdaae87a8a50500c2063a68bfb3c1e;1724,0;1,0;13:25:44;True;13:26:15;31,0;30,343704134207655;0;{'boxDx_um': 40, 'nFrPerMarker': 3, 'durStim_s': 0.2, 'boxDy_um': 40, 'fIntenW': 255, 'stimFileName': 'C:/Users/AGEuler/Documents/QDSpy/Stimuli/Katrin/RGCs/DN', 'durFr_s': 0.016666666666666666, 'fNameNoise': 'RGC_BWNoise_official'}
5;5;DN;C:\Users\AGEuler\Documents\QDSpy\Stimuli\Katrin\RGCs;521d77a52eff75053da309ada99d1156;1756,0;1,0;13:26:16;True;13:28:43;147,0;146,41067300191938;0;{'barDx_um': 1000.0, 'nFrPerMarker': 3, 'nTrials': 3, 'barDy_um': 300.0, 'vel_umSec': 1000.0, 'DirList': [0, 180, 45, 225, 90, 270, 135, 315], 'barColor': [255, 255, 255], 'durFr_s': 0.016666666666666666, 'tMoveDur_s': 4.0, 'stimFileName': 'C:/Users/AGEuler/Documents/QDSpy/Stimuli/Katrin/RGCs/DS', 'bkgColor': [0, 0, 0]}
6;6;DS;C:\Users\AGEuler\Documents\QDSpy\Stimuli\Katrin\RGCs;00bdaae87a8a50500c2063a68bfb3c1e;1904,0;1,0;13:28:44;True;13:30:24;100,0;99,50373726021645;0;{'barDx_um': 1000.0, 'nFrPerMarker': 3, 'nTrials': 3, 'barDy_um': 300.0, 'vel_umSec': 1000.0, 'DirList': [0, 180, 45, 225, 90, 270, 135, 315], 'barColor': [255, 255, 255], 'durFr_s': 0.016666666666666666, 'tMoveDur_s': 4.0, 'stimFileName': 'C:/Users/AGEuler/Documents/QDSpy/Stimuli/Katrin/RGCs/DS', 'bkgColor': [0, 0, 0]}
7;7;DS;C:\Users\AGEuler\Documents\QDSpy\Stimuli\Katrin\RGCs;00bdaae87a8a50500c2063a68bfb3c1e;2064,0;60,0;13:31:24;False;13:33:05;101,0;100,87119378072748;0;{'StimType': 2, 'tSteadyON_s': 3.0, 'tSteadyOFF2_s': 2.0, 'tSteadyMID_s': 2.0, 'stimFileName': 'C:/Users/AGEuler/Documents/QDSpy/Stimuli/Katrin/RGCs/Chirp', 'chirpMaxFreq_Hz': 8.0, 'durFr_s': 0.016666666666666666, 'tSteadyOFF_s': 3.0, 'nFrPerMarker': 3, 'ContrastFreq_Hz': 2.0, 'nTrials': 5, 'dxStim_um': 1000, 'IHalf': 127, 'chirpDur_s': 8.0, 'IFull': 254}
8;8;Chirp;C:\Users\AGEuler\Documents\QDSpy\Stimuli\Katrin\RGCs;f124bb886d58ff93a1e1d4448d76e979;2202,0;37,0;13:33:42;False;13:36:27;165,0;165,13656074555547;0;{'stimFileName': 'C:/Users/AGEuler/Documents/QDSpy/Stimuli/Katrin/RGCs/MouseCam_Right', 'SequenceUsed': 16}
9;9;MouseCam_Right;C:\Users\AGEuler\Documents\QDSpy\Stimuli\Katrin\RGCs;763618cea327c8d3cd0d37d1aa989db1;2407,0;40,0;13:37:07;False;13:47:25;618,0;617,8101451283474;2;{'barDx_um': 1000.0, 'nFrPerMarker': 3, 'nTrials': 3, 'barDy_um': 300.0, 'vel_umSec': 1000.0, 'DirList': [0, 180, 45, 225, 90, 270, 135, 315], 'barColor': [255, 255, 255], 'durFr_s': 0.016666666666666666, 'tMoveDur_s': 4.0, 'stimFileName': 'C:/Users/AGEuler/Documents/QDSpy/Stimuli/Katrin/RGCs/DS', 'bkgColor': [0, 0, 0]}
